student_id,riasec_r_item_1,riasec_r_item_2,riasec_r_item_3,riasec_r_item_4,riasec_r_item_5,riasec_r_item_6,riasec_r_item_7,riasec_r_item_8,riasec_r_item_9,riasec_r_item_10,riasec_r_item_11,riasec_r_item_12,riasec_i_item_1,riasec_i_item_2,riasec_i_item_3,riasec_i_item_4,riasec_i_item_5,riasec_i_item_6,riasec_i_item_7,riasec_i_item_8,riasec_i_item_9,riasec_i_item_10,riasec_i_item_11,riasec_i_item_12,riasec_a_item_1,riasec_a_item_2,riasec_a_item_3,riasec_a_item_4,riasec_a_item_5,riasec_a_item_6,riasec_a_item_7,riasec_a_item_8,riasec_a_item_9,riasec_a_item_10,riasec_a_item_11,riasec_a_item_12,riasec_s_item_1,riasec_s_item_2,riasec_s_item_3,riasec_s_item_4,riasec_s_item_5,riasec_s_item_6,riasec_s_item_7,riasec_s_item_8,riasec_s_item_9,riasec_s_item_10,riasec_s_item_11,riasec_s_item_12,riasec_e_item_1,riasec_e_item_2,riasec_e_item_3,riasec_e_item_4,riasec_e_item_5,riasec_e_item_6,riasec_e_item_7,riasec_e_item_8,riasec_e_item_9,riasec_e_item_10,riasec_e_item_11,riasec_e_item_12,riasec_c_item_1,riasec_c_item_2,riasec_c_item_3,riasec_c_item_4,riasec_c_item_5,riasec_c_item_6,riasec_c_item_7,riasec_c_item_8,riasec_c_item_9,riasec_c_item_10,riasec_c_item_11,riasec_c_item_12,academic_bahasa_indonesia,academic_bahasa_inggris,academic_matematika,academic_informatika,academic_ipa,academic_ips,academic_ppkn,academic_pjok,academic_seni,program_id,program_name
STU_03704,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,,3.0,2.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,80.2,83.0,81.4,82.3,78.3,95.3,82.5,70.0,84.8,17.0,Manajemen Perdagangan
STU_00885,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,75.8,76.8,88.0,73.6,72.2,75.0,86.8,79.6,84.5,54.0,Perpustakaan Dan Ilmu Informasi
STU_04977,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,1.0,2.0,,3.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,87.9,75.3,94.4,86.1,88.6,74.8,86.9,72.5,80.1,47.0,Pendidikan Teknik Informatika
STU_04311,2.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,2.0,75.0,72.7,85.5,79.4,74.5,77.2,84.4,70.0,79.8,11.0,Ilmu Hukum
STU_03501,2.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,,2.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,,80.3,77.5,82.5,79.6,92.0,90.4,70.0,89.2,50.0,Pendidikan Vokasional Seni Kuliner
STU_02728,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,70.0,82.9,73.2,75.0,70.2,81.0,70.0,70.0,83.8,43.0,Pendidikan Tata Rias Dan Kecantikan
STU_01172,1.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,,3.0,3.0,4.0,3.0,3.0,2.0,3.0,,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,4.0,3.0,70.0,90.7,70.0,74.0,82.8,84.3,84.1,81.4,70.0,55.0,Psikologi
STU_02676,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,74.3,80.8,70.0,77.7,81.1,95.5,79.7,72.0,70.0,39.0,Pendidikan Sejarah
STU_03335,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,70.0,86.4,78.9,76.9,77.4,84.1,82.7,70.0,74.6,19.0,Pariwisata
STU_01605,2.0,2.0,1.0,3.0,2.0,1.0,2.0,4.0,,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,84.2,99.3,82.7,79.5,83.7,89.4,85.2,90.3,70.0,6.0,Bahasa Dan Sastra Inggris
STU_02173,4.0,1.0,3.0,1.0,3.0,,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,5.0,4.0,5.0,5.0,,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,75.7,95.2,78.6,78.5,76.5,83.2,79.2,72.1,70.0,33.0,Pendidikan Keagamaan Islam
STU_01530,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,70.0,87.4,88.3,79.6,72.8,93.7,80.8,71.2,74.5,26.0,Pendidikan Ekonomi
STU_01375,2.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,85.1,89.2,86.5,87.4,82.5,84.2,75.6,74.9,70.5,70.0,Teknologi Rekayasa Sistem Elektronika
STU_00278,3.0,3.0,4.0,2.0,4.0,,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,70.6,75.2,77.3,70.0,82.3,80.5,85.4,78.2,70.0,2.0,Agrobisnis
STU_01413,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,76.6,82.2,74.4,77.4,74.3,81.9,81.4,70.0,70.0,6.0,Bahasa Dan Sastra Inggris
STU_01671,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,5.0,2.0,5.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,2.0,3.0,3.0,5.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,,3.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,70.0,84.9,98.7,87.0,89.9,75.1,70.0,70.0,88.6,45.0,Pendidikan Teknik Elektro
STU_00537,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,,3.0,2.0,3.0,4.0,3.0,3.0,,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,82.8,86.3,73.7,80.4,72.5,82.0,85.7,86.4,72.3,19.0,Pariwisata
STU_02113,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,,4.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,70.8,80.4,78.0,83.4,79.7,89.2,88.7,,70.0,23.0,Pendidikan Bahasa Indonesia
STU_00783,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,5.0,3.0,4.0,,5.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,79.4,84.8,77.6,84.1,74.6,88.3,78.0,82.9,70.0,12.0,Ilmu Komunikasi
STU_00808,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,5.0,5.0,4.0,,3.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,70.8,,80.6,,74.6,78.4,73.4,80.9,81.2,5.0,
STU_03275,1.0,1.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,,3.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,75.2,88.9,94.2,75.8,76.1,92.0,73.5,70.0,70.0,26.0,Pendidikan Ekonomi
STU_02634,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,5.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,5.0,,3.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,82.8,88.8,72.5,,79.2,77.7,70.0,73.5,83.9,40.0,Pendidikan Seni Drama Tari Dan Musik
STU_04810,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,70.0,78.2,79.3,71.7,82.5,89.0,90.8,70.9,70.8,26.0,Pendidikan Ekonomi
STU_01858,3.0,2.0,3.0,,2.0,1.0,3.0,2.0,,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,,3.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,70.0,86.1,75.3,79.2,74.4,82.6,79.4,79.5,,56.0,Sastra Indonesia
STU_00940,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,72.5,73.7,76.8,73.6,71.4,79.8,73.7,70.2,84.5,52.0,Pendidikan Tari
